First Name,Last Name,Gender,Age,Email,Phone,College,Occupation Title,Average Pay,Highest Pay,Marital Status,Quote,Location
Dainton,Thomas,Male,21,d.thomas@randatmail.com,005-025-1397,University of Kentucky,Fish and Wildlife Administrator,134021.85,187000.00,Single,How far that little candle throws its beams! So shines a good deed in a naughty world.,Texas
Tiana,Morgan,Female,21,t.morgan@randatmail.com,710-618-1719,Baylor University,Health System Administrator,130855.02,225398.00,Single,God has given you one face and you make yourself another.,Minnesota
Dexter,Foster,Male,28,d.foster@randatmail.com,234-834-1233,University of Texas at Austin,Computer Scientist,130658.25,220000.00,Single,Good people are good because they've come to wisdom through failure. We get very little wisdom from success you know.,Texas
Kirsten,Higgins,Female,23,k.higgins@randatmail.com,931-478-1000,University of Colorado Boulder,Financial Institution Examiner,129470.85,288524.00,Single,Nature takes away any faculty that is not used.,Texas
Miranda,Johnston,Female,25,m.johnston@randatmail.com,063-973-1336,University of Iowa,Aerospace Engineer,128827.22,193840.00,Married,True silence is the rest of the mind; it is to the spirit what sleep is to the body nourishment and refreshment.,Oregon
Roman,Thompson,Male,20,r.thompson@randatmail.com,548-081-1344,North Carolina State University,Actuarial Scientist,128738.14,187000.00,Married,Difficulties are meant to rouse not discourage. The human spirit is to grow strong by conflict.,California
Paul,Hunt,Male,20,p.hunt@randatmail.com,567-739-1456,University of Virginia,Pharmacologist,128099.34,248699.00,Married,Do more than dream: work.,Florida
Miley,Stevens,Female,26,m.stevens@randatmail.com,617-929-1292,Texas Tech University,Zoologist,127859.44,173417.00,Single,Where there is great love there are always miracles.,Texas
Emma,Cunningham,Female,26,e.cunningham@randatmail.com,954-907-1092,Miami Universit,General Engineer,127312.16,252450.00,Single,You'll see it when you believe it.,District of Columbia
Harold,Ferguson,Male,26,h.ferguson@randatmail.com,525-121-1144,University of Notre Dame,Electronics Engineer,126852.81,192879.00,Married,Real magic in relationships means an absence of judgement of others.,Florida
Alissa,Cameron,Female,27,a.cameron@randatmail.com,955-783-1918,University of Arkansas,Medical Officer,126560.27,390000.00,Single,Our intention creates our reality.,Oklahoma
Ellia,Dixon,Female,29,e.dixon@randatmail.com,261-185-1249,University of Utah,Photographic Technology,126494.80,165480.00,Married,I think and that is all that I am.,Wisconsin
Adele,Armstrong,Female,22,a.armstrong@randatmail.com,158-856-1951,University of Cincinnati,Computer Engineer,126288.20,199869.00,Single,There is no way to prosperity prosperity is the way.,Ohio
James,Chapman,Male,27,j.chapman@randatmail.com,938-959-1092,Grand Valley State University,Cryptanalyst,125324.94,163900.00,Married,Everything is perfect in the universe even your desire to improve it.,Minnesota
Madaline,Stevens,Female,24,m.stevens@randatmail.com,698-492-1218,Utah State University,Mediator,125200.78,172100.00,Single,Be miserable. Or motivate yourself. Whatever has to be done it's always your choice.,Iowa
Savana,Kelley,Female,22,s.kelley@randatmail.com,421-111-1793,Virginia Tech,Education Researcher,125157.33,187000.00,Single,If you change the way you look at things the things you look at change.,South Carolina
Sienna,Brooks,Female,22,s.brooks@randatmail.com,018-862-1604,University of Tennessee Knoxville,Air Traffic Controller,125067.68,202285.00,Married,You are important enough to ask and you are blessed enough to receive back.,Nevada
Harold,Elliott,Male,25,h.elliott@randatmail.com,983-490-1730,University of Missouri,Patent Examiner,124675.63,180388.00,Married,What we think determines what happens to us so if we want to change our lives we need to stretch our minds.,Texas
Arthur,Hawkins,Male,30,a.hawkins@randatmail.com,274-487-1282,Iowa State University,Air Safety Investigator,124221.08,163400.00,Single,I cannot always control what goes on outside. But I can always control what goes on inside.,Florida
Stuart,Morgan,Male,24,s.morgan@randatmail.com,672-322-1986,University of Alabama at Birmingham,Foreign Affairs Personnel,123707.05,224020.00,Single,Our lives are a sum total of the choices we have made.,California
Isabella,Kelley,Female,28,i.kelley@randatmail.com,179-380-1153,Colorado State University,Materials Engineer,123014.58,172100.00,Married,When you dance your purpose is not to get to a certain place on the floor. It's to enjoy each step along the way.,Washington
Henry,Carroll,Male,19,h.carroll@randatmail.com,339-462-1062,University of California,Naval Architect,123013.85,161900.00,Single,Love is never lost. If not reciprocated it will flow back and soften and purify the heart.,Arizona
Violet,Clark,Female,18,v.clark@randatmail.com,954-807-1435,University of Nebraska-Lincoln,Foreign Agricultural Affairs Personnel,122967.66,187000.00,Married,Ideals are an imaginative understanding of that which is desirable in that which is possible.,Michigan
Lana,Ellis,Female,22,l.ellis@randatmail.com,919-292-1175,University of Miami,Plant Physiologist,122262.03,207800.00,Married,It is surprising what a man can do when he has to and how little most men will do when they don't have to.,Florida
Martin,Davis,Male,30,m.davis@randatmail.com,154-792-1748,Northern Arizona University,Transportation Industry Analyst,122236.03,161900.00,Married,I can't imagine a person becoming a success who doesn't give this game of life everything hes got.,Iowa
Oscar,Ellis,Male,19,o.ellis@randatmail.com,283-787-1107,Indiana University-Purdue University Indianapolis,Economist,121837.32,268306.00,Single,Nothing diminishes anxiety faster than action.,Indiana
Brooke,Stewart,Female,25,b.stewart@randatmail.com,274-903-1909,Oklahoma State University,Employee Benefits Lawyer,121701.60,187000.00,Single,What lies behind us and what lies before us are tiny matters compared to what lies within us.,North Carolina
James,Cooper,Male,30,j.cooper@randatmail.com,226-957-1377,University of Pennsylvania,International Cooperation Personnel,121432.76,161900.00,Single,If you can dream it you can do it.,Iowa
Heather,Jones,Female,23,h.jones@randatmail.com,337-316-1352,Auburn University,Document Analyst,121048.54,161900.00,Married,To choose what is difficult all ones days as if it were easy that is faith.,Virginia
Harold,Walker,Male,26,h.walker@randatmail.com,778-149-1071,Washington State University,General Physical Scientist,120784.34,252450.00,Single,No matter how carefully you plan your goals they will never be more that pipe dreams unless you pursue them with gusto.,California
Julian,Carter,Male,27,j.carter@randatmail.com,956-067-1610,Texas State University,Operations Researcher,120718.68,192522.00,Married,No snowflake in an avalanche ever feels responsible.,California
Sarah,Crawford,Female,29,s.crawford@randatmail.com,359-860-1381,Brigham Young University-Idaho,International Relations Personnel,120633.86,187000.00,Single,To enjoy life we must touch much of it lightly.,Wyoming
Amber,Evans,Female,33,a.evans@randatmail.com,262-027-1805,University of Massachusetts Amherst,Toxicologist,120248.84,250000.00,Married,Think for yourselves and let others enjoy the privilege to do so too.,Nebraska
Thomas,Cunningham,Male,37,t.cunningham@randatmail.com,201-728-1389,James Madison University,Oceanographer,120141.37,187000.00,Married,The longer we dwell on our misfortunes the greater is their power to harm us.,New York
Garry,West,Male,33,g.west@randatmail.com,857-467-1125,Georgia Institute of Technology,Mathematical Statistician,119541.87,273345.00,Single,Snowflakes are one of natures most fragile things but just look what they can do when they stick together.,Texas
Jessica,Chapman,Female,34,j.chapman@randatmail.com,493-890-1043,University of North Carolina at Chapel Hill,Geodesist,119130.06,163817.00,Married,Fortune favours the brave.,Pennsylvania
Melissa,Owens,Female,31,m.owens@randatmail.com,882-139-1631,Illinois State University,Health Physicist,118988.87,172100.00,Single,The spirit the will to win and the will to excel are the things that endure. These qualities are so much more important than the events that occur.,Florida
Sofia,Parker,Female,38,s.parker@randatmail.com,867-710-1694,Florida State University,Fire Protection Engineer,118611.61,170305.00,Married,If you'll not settle for anything less than your best you will be amazed at what you can accomplish in your lives.,Oregon
Kate,Elliott,Female,36,k.elliott@randatmail.com,588-982-1146,East Carolina University,Pharmacist,118354.82,225000.00,Single,Life is the flower for which love is the honey.,Arizona
Alberta,Sullivan,Female,39,a.sullivan@randatmail.com,931-463-1917,New York University,Geophysicist,117598.85,187500.00,Single,These days people seek knowledge not wisdom. Knowledge is of the past wisdom is of the future.,Texas
Michelle,Morrison,Female,32,m.morrison@randatmail.com,491-230-1387,Louisiana State University,Chemical Engineer,117467.97,172546.00,Married,The world is always in movement.,Rhode Island
Isabella,Miller,Female,37,i.miller@randatmail.com,958-768-1302,San Diego State University System,Marine Survey Technician,116784.28,161900.00,Married,Fear is a darkroom where negatives develop.,Michigan
Miller,Walker,Male,38,m.walker@randatmail.com,235-280-1719,University of Delaware,Aviation Safety Personnel,116539.82,190165.00,Married,Kind words will unlock an iron door.,California
Ryan,Cooper,Male,38,r.cooper@randatmail.com,170-634-1888,West Virginia University,Clothing Designer,115902.00,130311.00,Married,He that never changes his opinions never corrects his mistakes and will never be wiser on the morrow than he is today.,California
Tony,Higgins,Male,30,t.higgins@randatmail.com,774-202-1081,University of New Hampshire,Dental Officer,115769.37,337925.00,Married,Whatever happens take responsibility.,Maryland
Arthur,Armstrong,Male,37,a.armstrong@randatmail.com,912-763-1520,University of Maryland,Navigational Information Personnel,115660.02,192301.00,Single,The path to success is to take massive determined action.,Virginia
Amber,Adams,Female,35,a.adams@randatmail.com,745-673-1335,University of North Dakota,Chemist,114912.01,270400.00,Married,Successful people ask better questions and as a result they get better answers.,California
Elian,Edwards,Male,37,e.edwards@randatmail.com,137-528-1287,Tulane University of Louisiana,Accountant,114553.41,282080.00,Married,It is in your moments of decision that your destiny is shaped.,Illinois
Kevin,Higgins,Male,36,k.higgins@randatmail.com,758-747-1332,University of Louisville,Food Technologist,114335.09,163900.00,Married,The way we communicate with others and with ourselves ultimately determines the quality of our lives.,Kansas
Victor,Montgomery,Male,37,v.montgomery@randatmail.com,515-348-1353,University of Rhode Island,Plant Pathologist,114085.25,207800.00,Single,Sometimes it is better to lose and do the right thing than to win and do the wrong thing.,Pennsylvania
Jared,Robinson,Male,38,j.robinson@randatmail.com,629-730-1148,Temple University,Civil Rights Analyst,113979.89,162500.00,Single,If you surrender to the wind you can ride it.,District of Columbia
Sabrina,Hunt,Female,38,s.hunt@randatmail.com,365-364-1085,Texas Christian University,Labor-Management Relations Examiner,113875.28,161900.00,Single,Do not expect the world to look bright if you habitually wear gray-brown glasses.,New York
Grace,Ryan,Female,31,g.ryan@randatmail.com,566-672-1978,University of Wyoming,Trade Specialist,113843.20,163900.00,Single,Formula for success: under promise and over deliver.,California
Dexter,Casey,Male,35,d.casey@randatmail.com,436-991-1398,Ohio University,Environmental Engineer,113467.57,206525.00,Single,Life is like a sewer. What you get out of it depends on what you put into it.,California
Arianna,Farrell,Female,32,a.farrell@randatmail.com,664-333-1385,California Polytechnic State University,Design Patent Examier,113459.88,170378.00,Single,There are no failures. Just experiences and your reactions to them.,Texas
Arnold,Hill,Male,38,a.hill@randatmail.com,861-730-1943,Ball State University,Health Insurance Administrator,113201.84,167400.00,Married,Never put off till tomorrow what you can do today.,Kentucky
Daniel,Wright,Male,36,d.wright@randatmail.com,478-753-1433,Appalachian State University,Environmental Protection Specialist,113064.17,186898.00,Single,Do you want to know who you are? Don't ask. Act! Action will delineate and define you.,California
Ted,Harrison,Male,40,t.harrison@randatmail.com,101-871-1074,Montana State University,Intaglio Press Operator,112554.96,155616.00,Single,I'm a great believer in luck and I find the harder I work the more I have of it.,California
Eddy,Foster,Male,38,e.foster@randatmail.com,601-225-1253,Rutgers University,Education Programmer,112506.84,199700.00,Single,Time changes everything except something within us which is always surprised by change.,Kansas
Kelsey,Crawford,Female,40,k.crawford@randatmail.com,589-383-1910,Utah Valley University,Physiologist,112293.28,243595.00,Married,No garden is without its weeds.,Florida
Vivian,Williams,Female,31,v.williams@randatmail.com,056-887-1663,Missouri State University,Industrial Specialist,112104.18,194500.00,Single,Genius is one percent inspiration and ninety-nine percent perspiration.,New Jersey
Andrew,Watson,Male,35,a.watson@randatmail.com,879-614-1267,University of Southern California,Architect,111974.66,197000.00,Single,If we did the things we are capable of we would astound ourselves.,Mississippi
Robert,Taylor,Male,47,r.taylor@randatmail.com,155-131-1180,Grand Canyon University,Geneticist,111941.18,267800.00,Single,Opportunity is missed by most because it is dressed in overalls and looks like work.,Missouri
Martin,Rogers,Male,43,m.rogers@randatmail.com,805-876-1176,Northeastern University,Podiatrist,111816.35,176853.00,Single,Many of life's failures are people who did not realize how close they were to success when they gave up.,Georgia
Rubie,Wells,Female,40,r.wells@randatmail.com,636-435-1686,Syracuse University,Animal Scientist,111728.84,174612.00,Single,The first requisite for success is the ability to apply your physical and mental energies to one problem incessantly without growing weary.,Mississippi
Grace,Carroll,Female,47,g.carroll@randatmail.com,202-923-1818,University of Minnesota Twin Cities,Information Technology Manager,111107.05,278771.00,Married,Minds are like parachutes. They only function when open.,Tennessee
Miller,Ryan,Male,40,m.ryan@randatmail.com,607-078-1195,University of Oregon,Insurance Examiner,110917.25,162665.00,Single,By nature man hates change; seldom will he quit his old home till it has actually fallen around his ears.,California
Arnold,Myers,Male,47,a.myers@randatmail.com,651-100-1738,University of Dayton,Auditor,110604.14,269600.00,Married,This world after all our science and sciences is still a miracle; wonderful inscrutable magical and more to whosoever will think of it.,New York
Briony,Thompson,Female,41,b.thompson@randatmail.com,728-736-1816,Liberty University,Electrical Engineer,110571.63,209050.00,Single,Do not be embarrassed by your mistakes. Nothing can teach us better than our understanding of them. This is one of the best ways of self-education.,Texas
Kimberly,Riley,Female,41,k.riley@randatmail.com,334-168-1984,Boston University,Aircraft Operator,110533.48,186617.00,Single,Smile breathe and go slowly.,District of Columbia
Ned,Dixon,Male,45,n.dixon@randatmail.com,300-648-1983,University of Kansas,Microbiologist,109754.61,260100.00,Married,There is no way to happiness happiness is the way.,Nevada
Emily,Roberts,Female,41,e.roberts@randatmail.com,525-599-1313,University of North Texas,Mechanical Engineer,109411.90,188000.00,Married,May our hearts garden of awakening bloom with hundreds of flowers.,Florida
Rosie,Johnson,Female,41,r.johnson@randatmail.com,035-997-1586,University of Texas at El Paso,Forest Products Technology Personnel,108798.52,155073.00,Single,To be beautiful means to be yourself. You don't need to be accepted by others. You need to accept yourself.,California
Amy,Thomas,Female,42,a.thomas@randatmail.com,921-046-1126,University of Illinois at Chicago,Highway Safety Personnel,108276.75,161900.00,Married,The most precious gift we can offer anyone is our attention. When mindfulness embraces those we love they will bloom like flowers.,Connecticut
Miller,Myers,Male,45,m.myers@randatmail.com,124-218-1019,University of North Carolina at Charlotte,Letterpress Operator,108182.09,146339.00,Single,Sometimes your joy is the source of your smile but sometimes your smile can be the source of your joy.,California
David,Adams,Male,48,d.adams@randatmail.com,318-574-1489,University of Washington,Petroleum Engineer,107932.87,190639.00,Single,By living deeply in the present moment we can understand the past better and we can prepare for a better future.,Indiana
Samantha,Roberts,Female,40,s.roberts@randatmail.com,311-062-1720,Kansas State University,Workforce Development Personnel,107882.60,187000.00,Single,The amount of happiness that you have depends on the amount of freedom you have in your heart.,Minnesota
Amelia,Brooks,Female,47,a.brooks@randatmail.com,231-053-1513,Villanova University,Entomology,107312.63,201086.00,Married,Time is the most valuable thing a man can spend.,Texas
Miley,Stewart,Female,45,m.stewart@randatmail.com,702-967-1163,University of Connecticut,Public Health Educator,107222.43,161900.00,Single,To be aware of a single shortcoming in oneself is more useful than to be aware of a thousand in someone else.,California
Antony,Williams,Male,42,a.williams@randatmail.com,566-774-1538,Kennesaw State University,Equal Employment Opportunity Personnel,106919.58,234700.00,Single,Action will remove the doubts that theory cannot solve.,Texas
Robert,Mitchell,Male,46,r.mitchell@randatmail.com,772-250-1683,Wake Forest University,Safety Engineer,106869.68,187000.00,Married,Rainbows apologize for angry skies.,Tennessee
Lucas,Hill,Male,47,l.hill@randatmail.com,296-107-1022,Boise State University,Optometrist,106629.81,181445.00,Married,It is the greatest of all mistakes to do nothing because you can only do little do what you can.,Florida
